Authors,Title,Year,Source title,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Source
"Sfez S., De Meester S., Dewulf J.","Co-digestion of rice straw and cow dung to supply cooking fuel and fertilizers in rural India: Impact on human health, resource flows and climate change",2017,"Science of the Total Environment",12,"10.1016/j.scitotenv.2017.07.150","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026890176&doi=10.1016%2fj.scitotenv.2017.07.150&partnerID=40&md5=c9a7372f414acfde413512567d97012e","Anaerobic digestion of cow dung with new feedstock such as crop residues to increase the biogas potential is an option to help overcoming several issues faced by India. Anaerobic digestion provides biogas that can replace biomass cooking fuels and reduce indoor air pollution. It also provides digestate, a fertilizer that can contribute to compensate nutrient shortage on agricultural land. Moreover, it avoids the burning of rice straw in the fields which contributes to air pollution in India and climate change globally. Not only the technical and economical feasibility but also the environmental sustainability of such systems needs to be assessed. The potential effects of implementing community digesters co-digesting cow dung and rice straw on carbon and nutrients flows, human health, resource efficiency and climate change are analyzed by conducting a Substance Flow Analysis and a Life Cycle Assessment. The implementation of the technology is considered at the level of the state of Chhattisgarh. Implementing this scenario reduces the dependency of the rural community to nitrogen and phosphorus from synthetic fertilizers only by 0.1 and 1.6%, respectively, but the dependency of farmers to potassium from synthetic fertilizers by 31%. The prospective scenario returns more organic carbon to agricultural land and thus has a potential positive effect on soil quality. The implementation of the prospective scenario can reduce the health impact of the local population by 48%, increase the resource efficiency of the system by 60% and lower the impact on climate change by 13%. This study highlights the large potential of anaerobic digestion to overcome the aforementioned issues faced by India. It demonstrates the need to couple local and global assessments and to conduct analyses at the substance level to assess the sustainability of such systems. © 2017 Elsevier B.V.","Agricultural waste; Biogas; Life Cycle Assessment; Nutrients; Substance Flow Analysis",Article,Scopus
"Li T., Lü Y., Fu B., Comber A.J., Harris P., Wu L.","Gauging policy-driven large-scale vegetation restoration programmes under a changing environment: Their effectiveness and socio-economic relationships",2017,"Science of the Total Environment",15,"10.1016/j.scitotenv.2017.07.044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023646176&doi=10.1016%2fj.scitotenv.2017.07.044&partnerID=40&md5=f8894231b6de6946c654c3f14b5b40a4","Large-scale ecological restoration has been widely accepted globally as an effective strategy for combating environmental crises and to facilitate sustainability. Assessing the effectiveness of ecological restoration is vital for researchers, practitioners, and policy-makers. However, few practical tools are available to perform such tasks, particularly for large-scale restoration programmes in complex socio-ecological systems. By taking a “before and after” design, this paper formulates a composite index (Ej) based on comparing the trends of vegetation cover and vegetation productivity to assess ecological restoration effectiveness. The index reveals the dynamic and spatially heterogenic process of vegetation restoration across different time periods, which can be informative for ecological restoration management at regional scales. Effectiveness together with its relationship to socio-economic factors is explored via structural equation modeling for three time periods. The results indicate that the temporal scale is a crucial factor in representing restoration effectiveness, and that the effects of socio-economic factors can also vary with time providing insight for improving restoration effectiveness. A dual-track strategy, which promotes the development of tertiary industry in absorbing the rural labor force together with improvements in agricultural practices, is proposed as a promising strategy for enhancing restoration effectiveness. In this process, timely and long-term ecological restoration monitoring is advocated, so that the success and sustainability of such programmes is ensured, together with more informative decision making where socio-ecological interactions at differing temporal scales are key concerns. © 2017 Elsevier B.V.","Ecological restoration; Effectiveness assessment; Rural economy; Socio-ecological system; Structural equation modeling; Temporal scale",Article,Scopus
"Sun X., Li F., Sun X., Li F.","Spatiotemporal assessment and trade-offs of multiple ecosystem services based on land use changes in Zengcheng, China",2017,"Science of the Total Environment",33,"10.1016/j.scitotenv.2017.07.221","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026881190&doi=10.1016%2fj.scitotenv.2017.07.221&partnerID=40&md5=e23698e00203674bdaf089762530b749","Driven by rapid urbanization, land use change has become a significant factor influencing ecosystem services (ESs). To support the decision-making process of city planners and policy makers, assessing the spatiotemporal changes associated with multiple ESs is vital. In this study, we developed a general structure to assess the changes of multiple ESs in Zengcheng, China. A new index also was developed to measure the comprehensive ecosystem service (CES). Trade-offs of various ESs were analyzed by using correlation analysis. We then designed four alternate scenarios to explore the optimal land use strategies to increase the CES value and minimize trade-offs among various ESs. Results demonstrated that rapid expansion of built-up land and traffic land resulted in a decrease of CES in Zengcheng from 2003 to 2013. Although the water supply, water purification, and vegetable and fruit production services increased, the climate regulation, soil conservation, biodiversity protection, recreation opportunity and grain production services decreased during the ten-year period. Government should implement land use policies and ecological engineering measures to improve soil conservation in the northern region; recreation opportunity in the central region; and carbon storage, water purification, biodiversity protection and recreation opportunity in the southern region. Among all alternative scenarios, woodland buffer and soil conservation scenarios exhibit the highest CES values, indicating that policies such as the “Ecological corridor construction” project and the “Grain for Green” project should be implemented. However, a caveat is that these policies improve the ESs at the expense of food production due to significant trade-off relationships. To minimize the trade-offs, a more sustainable intensification of agriculture should be adopted to increase food production without decreasing other ESs or occupying additional land. The land use strategies and ecological engineering measures in this study can provide a reliable reference for sustainable development of other urbanized regions in China. © 2017 Elsevier B.V.","Alternative scenario; Ecosystem services (ESs); Land use change; Trade-offs",Article,Scopus
"Ahmad E., Niu M., Xiao K.","Fiscal underpinnings for sustainable development in China: Rebalancing in Guangdong",2017,"Fiscal Underpinnings for Sustainable Development in China: Rebalancing in Guangdong",2,"10.1007/978-981-10-6286-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042624899&doi=10.1007%2f978-981-10-6286-5&partnerID=40&md5=be4e41d51f80ae4071e680fab1aa8b0a","This book collects high-quality papers on issues related to the rebalancing strategy in China, new clean cities as ""hubs'', liability management, and involving the private sector, including through PPPs, with specific examples from Guangdong. Guangdong has been at the forefront of economic reforms in China since the advent of the Responsibility System in the late 1970s, and its successes and challenges reflect those of China as a whole. The need for rebalancing towards a more inclusive and sustainable path is also critical in Guangdong, just as it is in China. Strengthening the fiscal underpinnings and the next stages of tax reforms are critical drivers to accomplishing the requisite structural changes. © Springer Nature Singapore Pte Ltd. 2018. All rights reserved.",,Book,Scopus
"Ichinose T.","An Analysis of Transformation of Teaching and Learning of Japanese Schools that Significantly Addressed Education for Sustainable Development",2017,"Journal of Teacher Education for Sustainability",3,"10.1515/jtes-2017-0013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041304476&doi=10.1515%2fjtes-2017-0013&partnerID=40&md5=22e274eed44c874f0a816ab59d73b702","Education for Sustainable Development (ESD) requires learner-centred and interactive teaching strategies such as critical thinking, participatory decision-making, value-based learning, and multi-method approaches, all of which to some degree contrast traditional lecture-based teaching practices. As there is very little evidence providing international comparison across different educational backgrounds, the research digs deeper into the effects of a pluralistic ESD approach to teaching in the context of Japanese primary and secondary education. Based on answers from a questionnaire administered by head teachers in 469 ESD schools, the present research shows that teachers recognise that at least in relation to the local environment, community welfare, and depopulation of communities, the students are increasingly aware of their role and the need to act ambitiously to create a sustainable society. In these teacher comments about ESD methods, the main emphases were on the whole system, for example, the use of integrated studies (referred to 37 times), cross-curriculum development (13), and the ESD calendar (12). The fact that ESD is learner-centred (26), learning in the society (23) focused on collaboration with local community, and based on active learning (20) also frequently appeared. The research also reveals that by using local resource materials and conducting experiential activities, studentsí awareness of their local district deepens, and students then start to tackle with difficulties of local society such as declining population, protection of natural environment, and preservation of traditional culture by themselves. However, it cannot be said that teachers clearly understand their role as coaches and change agents, and there were no reported cases of teachers and students collaboratively designing school activities. Thus, there is still space for more profound teaching and learning growth in ESD in Japan. © by Tomonori Ichinose 2018.","behaviour changes; ESD methodology; integrated study; learner-centred study; locality; pluralism",Article,Scopus
"Tulla A.-F., Stoica I.-V., Pallarès-Blanch M., Zamfir D.","Can Naturbanization Promote Environmentally Friendly Built-Up Areas? A Comparison between Cadí-Moixeró (Catalonia, Spain) and Comana (Romania) Natural Parks",2017,"European Countryside",7,"10.1515/euco-2017-0039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041062076&doi=10.1515%2feuco-2017-0039&partnerID=40&md5=f26460cf0e55c3e2a5af1b15b399ed07","The study compares the on-going naturbanization processes in and around two Natural Parks under the impact of newcomers, but also tourists from Barcelona and Bucharest and their metropolitan areas. The landscape value of these areas attracts the urban population, which contributes to local sustainable development process but also promotes construction. New businesses associated with rural multifunctionality and value-added activities related to environmental quality were identified. New residents have contributed introducing responsible patterns of consumer, ecoentrepreneurship by women, recovery of abandoned buildings and intensification of rural-urban relationships. Negative impacts such as intensive construction of second homes, with a lower use, in some areas around Cadí-Moixeró threaten biodiversity and habitat connectivity. Insufficient integration of environmental policies, particularly in the Comana wetlands, reduces the potential for rural renewal. Research methods included a review of the counterurbanization literature and the statistical data related to processes of naturbanization in both areas, along with the conduct of 30 structured interviews with key local actors in each area. Naturbanization still offers the potential to enhance local development; however, it is urgent to assess social perspectives in natural parks management in order to achieve environmentally friendly built-up areas. © by Antoni-Francesc Tulla 2018.","Barcelona; Bucharest; Built-up areas; Cadí-Moixeró NP; Comana NP; Naturbanization; Quality landscape",Article,Scopus
"Kruzmetra M., Rivza B., Jasaitis J.","Performance Agent Groups in the Promotion of Smart Economic Growth",2017,"European Countryside",,"10.1515/euco-2017-0046","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041077019&doi=10.1515%2feuco-2017-0046&partnerID=40&md5=540da6af4d5c48146422167f7c4f3278","Any country is interested in economic growth regardless of its development level in any period; yet an increasingly important role in defining growth is played by the term 'smart growth'. The EU development strategy until 2020 defines smart growth as a strategic objective. Smart growth does not take place automatically. It is affected both by the condition of the economic, social and natural environments and by subjective factors - the competence of performance agents. The present research distinguished three groups of rural space and regional performance agents: national institutions, local governments and communities of residents of the territories examined by the research. The research summarised the opinions of experts (Latvia n=171; Lithuania n=163) from the south-eastern part of Latvia and the north-eastern part of Lithuania with the purpose of assessing the contribution of the performance agent groups to the promotion of smart economic growth. The research aimed to identify the positive indications of the contribution made by each performance agent group as well as the largest problems affecting the promotion of smart economic growth in each country. Despite the fact that the sample groups were not representative (did not reflect the views of the entire population), the obtained survey data and the results of this analysis provided insight into the performance agents' action ratings from the bottom-up position and allowed comparing the situations in Latvia and Lithuania. The research has become an urgent task in project No. 5.2.3 ""Rural and Regional Development Processes and Opportunities in Latvia in the Context of Knowledge Economy"" in National Research Programme 5.2. »Economic Transformation, Smart Growth, Governance and Legal Framework for the State and Society for Sustainable Development - a New Approach to the Creation of a Sustainable Learning Community: EKOSOC-LV"". © by Maiga Kruzmetra 2018.","governance; performance; performance agent groups; smart growth",Article,Scopus
"Mammadova A.","Education towards Urban Sustainability: Lessons Learned from the Welfare Business Models of Kanazawa City, Japan",2017,"Journal of Teacher Education for Sustainability",2,"10.1515/jtes-2017-0020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041370661&doi=10.1515%2fjtes-2017-0020&partnerID=40&md5=1541a6daf5050525c9f6c28cf3facfe1","Education is considered a driving force for urban sustainable development and there is an urgent need to use different approaches to increase the awareness level in younger generations. Teaching about sustainability requires an integrated approach due to its complex concept, and in this study to show the interconnection of the social, environmental and economic sectors of the city the author decided to conduct fieldwork activities in the welfare business sectors, which is one of the leading practices used in the aging Japanese population. Japan's population is aging with a declining birth rate, and the country is becoming a ""super-aging"" society with one out of every four persons aged above 65 years. There are crucial issues to provide social services, such as care for the elderly, child support programmes to reduce the child-raising anxieties, care for mentally and physically disabled people and others. In this study, the objectives were 1) to provide the fieldwork in small-scaled private and town-scaled business sectors and 2) to observe the interconnection of urban sustainability practices through the welfare with environmental, social and economic sectors. Private and public sectors were visited by 15 international students with different educational backgrounds, who had no idea about urban sustainability. In total, four welfare business sectors were visited by the students: two sectors were related to the farming activates together with care for disabled people, and the other two field trips were related to urban community-development business sectors. After the field trips, students evaluated a linkage among social, environmental and business sectors related with welfare practices. The awareness level of the students increased (85 %) towards the issue of sustainable urban development, and they were able to provide the recommendations for the inclusive, safe and resilient cities. These field trips showed very positive feedback, to educate the youth. In this study, the author presents the qualitative transdisciplinary field trip approach. However, to improve the methodology a cohort analysis with a quantitative data analysis will be performed in the further study. © by Aida Mammadova 2018.","community-oriented business; education; field trips; urban sustainability; welfare",Article,Scopus
"Dean K., Trillo C., Bichard E.","Assessing the value of housing schemes through sustainable return on investment: A path towards sustainability-led evaluations?",2017,"Sustainability (Switzerland)",1,"10.3390/su9122264","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038421947&doi=10.3390%2fsu9122264&partnerID=40&md5=fe17753639dc5b07b44ac1d63612be29","The 2016 United Nations (UN) New Urban Agenda clearly reaffirms the concept that sustainable cities require intertwined environmental and social sustainability. The United Nations Sustainable Development Goal (SDG) 11-""Make cities inclusive, safe, resilient, and sustainable""-sets (as a primary target) the provision of sufficient affordable housing. Despite the central role that housing plays in ensuring sustainability and the importance of both environmental and social pillars in ensuring sustainable development, current evaluative methods that support decision making on social housing interventions fail to capture all of the socio-environmental value contained in the UN SDG 11. This paper addresses the issue by demonstrating how Sustainable Return on Investment can successfully describe and analyse a range of externalities related to the sustainable value generated by social housing regeneration schemes. To achieve this goal, a single case study strategy has been chosen. Two extant projects-a high-rise housing scheme and an environmental-led programdeveloped by City West Housing Trust (a nonprofit housing association based in the Manchester area)-have been assessed in order to monetise their social and environmental value through different methods. The findings show that, historically, the environmental and social value of regeneration schemes have been largely disregarded because of a gap in the evaluation methods, and that there is room for significant improvement for future evaluation exercises. © 2017 by the authors.","Housing associations; Housing-led urban regeneration; Social and environmental value; Sustainable return on investment",Article,Scopus
"Zheng Q., Wang K., Huang L., Zheng Q., Abubakar G.A.","Monitoring the different types of urban construction land expansion (UCLE) in China's port city: A case study of Ningbo's central city",2017,"Sustainability (Switzerland)",5,"10.3390/su9122374","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038423176&doi=10.3390%2fsu9122374&partnerID=40&md5=59244e85ab3992e2a8fe1c67aaad7fcf","The internal structure of urban construction land expansion (UCLE) is closely related to urban sustainability, and the UCLE in China's port city has a unique pattern. This study attempted to monitor the internal structure evolution of UCLE based on construction land transfer data in Ningbo's central city from 2002 to 2015. Equality fan analysis and kernel density analysis were applied to characterize the spatial-temporal dynamics of different types of UCLE and to summarize their evolution patterns. The results revealed that in the whole study area, the rank of the expansion size and intensity of construction land was: industrial land > traffic land > residential land > public land > commercial land. The dominant directions of all types of UCLE were the directions of the port zones. In the port zones, there were more apparent expansion trends and higher expansion intensities of industrial, traffic and public lands, which meant that the port had significant impact on UCLE, especially in terms of industrial land. Additionally, commercial and residential land expansions showed a circle-shaped gradient pattern; industrial land sprawl was in a leapfrog pattern; public and traffic land sprawl was illustrated in a bi-centric pattern. In the future, local government should encourage the development of residential and public land rather than industrial land, and shift the present industry structure which dominated by industry to a more balanced structure, in order to achieve sustainable development. © 2017 by the authors.","Evolution pattern; Industry structure; Internal structure; Ningbo; Port; Spatial-temporal analysis; Urban construction land expansion",Article,Scopus
"Rose M., Schleicher K., Maibaum K.","Transforming well-being in Wuppertal-conditions and constraints",2017,"Sustainability (Switzerland)",7,"10.3390/su9122375","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038431212&doi=10.3390%2fsu9122375&partnerID=40&md5=28a743b1bf31dce31c9fe61608b1d05e","Conventional welfare production is unsustainable. A societal emphasis on (green) economic growth may therefore be superseded by an extended concept of well-being. Taking a transformative approach, science may take part in catalysing this challenging transformation of both the understanding and the level of well-being. Instead of economic growth at the expense of sustainability, we aim to cooperatively refocus on integrating economic, social and ecological perspectives into a more holistic, sustainable approach to individual and municipal well-being in Wuppertal (Germany). Therefore, the research team investigates and develops concepts of local sustainable well-being production, e.g., by employing a new indicator system and the real-world laboratory approach. What are the conditions and constraints of transforming well-being in Wuppertal and most particularly of the role of scientists in this endeavour? Answering this research question with a comparative case study approach, we have analysed our resources, processes, contexts and normativity. The results show that the role of 'transformative scientists' in Wuppertal faces constraints of timing and funding, as well as challenges from the different demands of science and practice. Hampered co-design interacts with role conflicts. Open-minded stakeholders are crucial for local well-being transformation, as is the awareness that urban residential districts have bottomed out. However, the normative sustainability claims of the transformative research project are not fully shared by all of its stakeholders, which is both necessary and challenging for transformative research. © 2017 by the authors.","Beyond GDP; City districts; Civic participation; Real-world laboratories; Roles of scientists; Sustainable urban development; Transdisciplinarity; Transformative research; Well-being; Well-being indicators",Article,Scopus
"Moon D., Sagisaka M., Tahara K., Tsukahara K.","Progress towards sustainable production: Environmental, economic, and social assessments of the cellulose nanofiber production process",2017,"Sustainability (Switzerland)",5,"10.3390/su9122368","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038433141&doi=10.3390%2fsu9122368&partnerID=40&md5=3cfd7fbd2b3da4338e103947065c8fc3","We assessed the environmental, economic, and social impacts of the process for producing cellulose nanofibers (CNFs), which are considered to be a valuable sustainable woody biomass feedstock. The greenhouse gas (GHG) emissions associated with CNF production are greater than the emissions associated with producing most plastic materials used in vehicle components because the grinding process during CNF production generates significant GHG emissions. The cost of CNF production is also higher than the cost of producing comparable plastics for automotive use because of the high cost of the pulverization process. The sensitivity analysis in this study suggested that GHG emissions and manufacturing costs could be reduced by 19.1-76.4% and 3.6-12.2%, respectively, by improving the energy efficiency of CNF production by two to five times. We compared the potential social risks associated with CNF production between Japan and Vietnam using a product social impact life cycle assessment database. It is desirable to reduce the social risk on the fair salary and child labor, and to improve the safe and healthy living conditions in the local communities that import wood chips harvested in Vietnam. © 2017 by the authors.","Cellulose nanofibers (CNFs); Greenhouse gas (GHG) emissions; Social risk; Woody biomass",Article,Scopus
"Liu Y., Sheng H., Mundorf N., Redding C., Ye Y.","Integrating norm activation model and theory of planned behavior to understand sustainable transport behavior: Evidence from China",2017,"International Journal of Environmental Research and Public Health",17,"10.3390/ijerph14121593","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038867271&doi=10.3390%2fijerph14121593&partnerID=40&md5=75cc61cf141a6e23a6c692c579c39771","With increasing urbanization in China, many cities are facing serious environmental problems due to continuous and substantial increase in automobile transportation. It is becoming imperative to examine effective ways to reduce individual automobile use to facilitate sustainable transportation behavior. Empirical, theory-based research on sustainable transportation in China is limited. In this research, we propose an integrated model based on the norm activation model and the theory of planned behavior by combining normative and rational factors to predict individuals’ intention to reduce car use. Data from a survey of 600 car drivers in China’s three metropolitan areas was used to test the proposed model and hypotheses. Results showed that three variables, perceived norm of car-transport reduction, attitude towards reduction, and perceived behavior control over car-transport reduction, significantly affected the intention to reduce car-transport. Personal norms mediated the relationship between awareness of consequences of car-transport, ascription of responsibility of car-transport, perceived subjective norm for car-transport reduction, and intention to reduce car-transport. The results of this research not only contribute to theory development in the area of sustainable transportation behavior, but also provide a theoretical frame of reference for relevant policy-makers in urban transport management. © 2017 by the authors. Licensee MDPI, Basel, Switzerland.","Car-transport reduction; Intention survey; Norm activation model; Sustainable transport behavior; Urban transport",Article,Scopus
"Bianchini S., Raspini F., Ciampalini A., Lagomarsino D., Bianchi M., Bellotti F., Casagli N.","Mapping landslide phenomena in landlocked developing countries by means of satellite remote sensing data: the case of Dilijan (Armenia) area",2017,"Geomatics, Natural Hazards and Risk",7,"10.1080/19475705.2016.1189459","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971469866&doi=10.1080%2f19475705.2016.1189459&partnerID=40&md5=8f441a8448745d6741176d08dab515c3","Landslide detection and mapping are essential issues for reducing impact of such natural disasters, and for improving the future built-up expansion and planning strategies, especially in developing countries where a reasonable land-use design is an important concern for sustainable growth and environmental management. Armenia is a landlocked country and its urban development is strongly tied to the improvement of infrastructures, which must takes into account the environmental setting and the slope instability of the area, in order to identify risks and possible damages to settlements and economic activities. The use of satellite-based Earth Observation data has advanced significantly in the last decade and has turned out to be very useful for measuring and monitoring slow-moving surface deformation phenomena with millimetric precision. In this framework, this study aims at providing a remote sensing-based Landslide Inventory Map (LIM) and a Landslide Susceptibility Map (LSM) over Dilijan (Armenia) area, performed within the Secondary Cities Urban Development in Armenia project. In particular, LIM and LSM in the study area were produced by using ground deformation measurements derived from satellite Synthetic Aperture Radar (SAR) data, acquired by ALOS and ENVISAT sensors from 2003 up to 2010, and integrated with photo-interpretation of recent optical images and morphological analysis of Digital Elevation Model (DEM). Given the extensive presence of vegetation in the area of interest, satellite SAR images were processed to produce both SqueeSAR™ and Temporary Coherent Scatterers data, which are PSI (Persistent Scatterer Interferometry) data conceived as evolution of PSInSAR™ approach and particularly suited for non-urban and rural areas characterized by low density of coherent terrain benchmarks over time. Landslide mapping produced through this work identifies the most hazardous landslide-affected and landslide-prone areas around Dilijan city, and can be used for further estimating environmental risks for urban infrastructure development in the area. © 2016 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","Armenia; Landslide; landslide inventory map; remote sensing; susceptibility map",Article,Scopus
